,r1x,r1y,v1x,v1y,r2x,r2y,v2x,v2y,r3x,r3y,v3x,v3y
257,-3.557373971141193,2.1958700920518566,-0.09799241345499231,-0.09960079047916405,-2.3956227546054394,2.607960689900372,-0.003602693506950263,-0.04537894367930797,-3.719678273900419,0.8869864268353778,0.05401603795500017,0.09935247431356808
258,-3.567173212486692,2.18591001300394,-0.09735997601543481,-0.10002103349167711,-2.3959830239561346,2.6034227955324414,-0.004193226461127657,-0.045823177260339076,-3.714276670104919,0.8969216742667345,0.05432084378187481,0.10004114943768856
259,-3.576909210088236,2.1759079096547724,-0.09672835311259813,-0.10045441426845035,-2.3964023466022475,2.5988404778064074,-0.004783092697501673,-0.046268689809714235,-3.7088445857267316,0.9069257892105034,0.054625357010806695,0.10073792274869264
260,-3.5865820453994957,2.1658624682279273,-0.09609696331360726,-0.10090124295596758,-2.3968806558719975,2.5942136088254357,-0.005372430798683065,-0.04671553949972205,-3.703382050025651,0.9169995814853726,0.05492942716265632,0.10144301522721448
261,-3.5961917417308564,2.1557723439323304,-0.09546519837583958,-0.10136184023132072,-2.3974178989518657,2.5895420548754635,-0.005961378488306291,-0.04716378504719866,-3.6978891073093854,0.9271438830080941,0.05523288909781342,0.10215665383304282
262,-3.6057382615684404,2.1456361599091984,-0.0948324199913559,-0.1018365368603622,-2.3980140368006966,2.584825676370744,-0.006550072895216903,-0.04761348576172786,-3.692365818399604,0.9373595483913985,0.0555355616284776,0.1028790713299288
263,-3.615221503567576,2.1354525062231624,-0.0941979562800848,-0.10232567308603885,-2.398669044090218,2.580064327794571,-0.007138650814800884,-0.048064701593287094,-3.6868122622367565,0.9476474555243913,0.05583724599907943,0.1036105060227369
264,-3.6246412991955848,2.1252199389145585,-0.09356109800752099,-0.10282959781097348,-2.399382909171698,2.5752578576352425,-0.0077272489686770664,-0.048517493179281314,-3.6812285376368488,0.958008506126665,0.05613772422371503,0.10435120138845379
265,-3.6339974089963367,2.114936979133461,-0.09292109450210076,-0.10334866753172309,-2.400155634068566,2.5704061083173144,-0.008316004263950134,-0.04897192189088303,-3.675614765214477,0.9684436262655104,0.056436757269136044,0.10510140557914185
266,-3.643289518446547,2.104602112380289,-0.09227714924724009,-0.10388324497435376,-2.400987234494961,2.565508916128226,-0.008905054053207122,-0.04942804987857039,-3.6699710894875635,0.9789537668234246,0.05673408307172987,0.10586137077090244
267,-3.6525172333712708,2.0942137878828535,-0.09162841512345771,-0.10443369737185651,-2.4018777399002817,2.560566111140369,-0.009494536396434234,-0.04988594011672416,-3.6642976811803907,0.9895399039005148,0.05702941437714282,0.10663135232820704
268,-3.6616800748836167,2.0837704181456678,-0.09097398927731241,-0.10500039431329673,-2.4028271935399252,2.5555775171286967,-0.010084590326032749,-0.050345656447109165,-3.6585947397426763,1.0002030391333356,0.057322436391870873,0.10741160774746664
269,-3.670777473811348,2.073270378714338,-0.09031290759639499,-0.10558370508224077,-2.4038356525725284,2.550542951483986,-0.010675356116122315,-0.05080726362102525,-3.6528624961034892,1.0109441999080824,0.05761280423744022,0.10820239533733393
270,-3.679808764570988,2.062712008206114,-0.08964413877375885,-0.10618399538773135,-2.4049031881841407,2.5454622251218835,-0.011266975557336596,-0.05127082733986605,-3.6471012156797453,1.0217644394418157,0.057900140199942225,0.10900397258586744
271,-3.6887731784483635,2.0520936086673407,-0.08896657795150358,-0.10680162337469605,-2.4060298857398745,2.540335142387897,-0.011859592238339637,-0.05173641429377043,-3.641311201659751,1.0326648367004025,0.05818403077095778,0.1098165941562263
272,-3.697669836243514,2.041413446329871,-0.08827903994244357,-0.10743693478200184,-2.4072158449637087,2.5351615009585196,-0.012453351835320871,-0.05220409219799003,-3.6354927985826553,1.0436464961160252,0.0584640234806634,0.11064050944292726
273,-3.7064977402377584,2.030669752851671,-0.08758025204178632,-0.10809025709531157,-2.4084611801472406,2.5299410917387206,-0.013048402410761877,-0.05267392982652578,-3.629646396234589,1.054710547060318,0.058739623530610484,0.11147595960982384
